"filename", "language", "YAML", "JSON", "Docker", "JavaScript", "Shell Script", "JSON with Comments", "TypeScript", "TypeScript React", "CSS", "XML", "Markdown", "Ruby", "Gemfile", "Properties", "erb", "comment", "blank", "total"
"/Users/tanakatarou/Desktop/Portfolio/backend/config/cable.yml", "YAML", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11
"/Users/tanakatarou/Desktop/Portfolio/backend/config/database.yml", "YAML", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 5, 68
"/Users/tanakatarou/Desktop/Portfolio/backend/config/environment.rb", "Ruby", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 2, 2, 6
"/Users/tanakatarou/Desktop/Portfolio/backend/config/environments/development.rb", "Ruby", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 22, 21, 69
"/Users/tanakatarou/Desktop/Portfolio/backend/config/environments/production.rb", "Ruby", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 42, 23, 86
"/Users/tanakatarou/Desktop/Portfolio/backend/config/environments/test.rb", "Ruby", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 24, 17, 61
"/Users/tanakatarou/Desktop/Portfolio/backend/config/initializers/cors.rb", "Ruby", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 13, 5, 28
"/Users/tanakatarou/Desktop/Portfolio/backend/config/initializers/filter_parameter_logging.rb", "Ruby", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 4, 2, 9
"/Users/tanakatarou/Desktop/Portfolio/backend/config/initializers/inflections.rb", "Ruby", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 3, 17
"/Users/tanakatarou/Desktop/Portfolio/backend/config/initializers/session_store.rb", "Ruby", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 1, 9
"/Users/tanakatarou/Desktop/Portfolio/backend/config/locales/en.yml", "YAML", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 2, 34
"/Users/tanakatarou/Desktop/Portfolio/backend/config/puma.rb", "Ruby", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 29, 8, 46
"/Users/tanakatarou/Desktop/Portfolio/backend/config/routes.rb", "Ruby", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 3, 24
"/Users/tanakatarou/Desktop/Portfolio/backend/config/storage.yml", "YAML", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 6, 35
"/Users/tanakatarou/Desktop/Portfolio/backend/db/migrate/20220920081840_create_users.rb", "Ruby", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 2, 11
"/Users/tanakatarou/Desktop/Portfolio/backend/db/migrate/20220927114715_create_todos.rb", "Ruby", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 2, 14
"/Users/tanakatarou/Desktop/Portfolio/backend/db/migrate/20221028063508_create_boards.rb", "Ruby", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 2, 13
"/Users/tanakatarou/Desktop/Portfolio/backend/db/migrate/20221031090807_create_posts.rb", "Ruby", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 2, 13
"/Users/tanakatarou/Desktop/Portfolio/backend/db/migrate/20221105064301_create_hearts.rb", "Ruby", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 2, 11
"/Users/tanakatarou/Desktop/Portfolio/backend/db/migrate/20221106102421_create_mypages.rb", "Ruby", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 2, 10
"/Users/tanakatarou/Desktop/Portfolio/backend/db/migrate/20221109112216_create_lifeposts.rb", "Ruby", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 2, 16
"/Users/tanakatarou/Desktop/Portfolio/backend/db/schema.rb", "Ruby", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 71, 0, 0, 0, 11, 9, 91
"/Users/tanakatarou/Desktop/Portfolio/backend/db/seeds.rb", "Ruby", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 1, 8
"/Users/tanakatarou/Desktop/Portfolio/backend/entrypoint.sh", "Shell Script", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 7
"/Users/tanakatarou/Desktop/Portfolio/backend/nginx/Dockerfile", "Docker", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7, 16
"/Users/tanakatarou/Desktop/Portfolio/backend/nginx/nginx.conf", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 7, 10, 43
"/Users/tanakatarou/Desktop/Portfolio/backend/spec/factories/lifeposts.rb", "Ruby", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 1, 11
"/Users/tanakatarou/Desktop/Portfolio/backend/spec/factories/mypages.rb", "Ruby", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 2, 6
"/Users/tanakatarou/Desktop/Portfolio/backend/spec/models/lifepost_spec.rb", "Ruby", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 2, 6
"/Users/tanakatarou/Desktop/Portfolio/backend/spec/models/mypage_spec.rb", "Ruby", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 2, 6
"/Users/tanakatarou/Desktop/Portfolio/backend/spec/rails_helper.rb", "Ruby", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 40, 7, 68
"/Users/tanakatarou/Desktop/Portfolio/backend/spec/requests/lifeposts_spec.rb", "Ruby", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 2, 8
"/Users/tanakatarou/Desktop/Portfolio/backend/spec/requests/mypages_spec.rb", "Ruby", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 2, 8
"/Users/tanakatarou/Desktop/Portfolio/backend/spec/spec_helper.rb", "Ruby", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 82, 4, 95
"/Users/tanakatarou/Desktop/Portfolio/backend/test/channels/application_cable/connection_test.rb", "Ruby", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 7, 2, 12
"/Users/tanakatarou/Desktop/Portfolio/backend/test/controllers/registrations_controller_test.rb", "Ruby", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 3, 2, 8
"/Users/tanakatarou/Desktop/Portfolio/backend/test/controllers/schedules_controller_test.rb", "Ruby", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 3, 2, 8
"/Users/tanakatarou/Desktop/Portfolio/backend/test/controllers/sessions_controller_test.rb", "Ruby", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 3, 2, 8
"/Users/tanakatarou/Desktop/Portfolio/backend/test/controllers/todos_controller_test.rb", "Ruby", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 3, 2, 8
"/Users/tanakatarou/Desktop/Portfolio/backend/test/controllers/users_controller_test.rb", "Ruby", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 3, 2, 8
